CÓDIGO,NOMBRE,OBSERVACIONES,,,,
36072201,SECCIÓN ALTURAS,,,,,
37071901,BANCO SMART MET,,,,,
37071902,BANCO SMART MET,,,,,
37071903,BANCO DE MADERA,,,,,
37072101,SECCIÓN ANCHURAS,,,,,
38041401,DISEÑO DE LUGAR DE TRABAJO MONITOR,,,,,
38042401,DISEÑO DE LUGAR DE TRABAJO CPU,,,,,
38042501,DISEÑO DE LUGAR DE TRABAJO CONTROL DE VIDEO,,,,,
38043401,DISEÑO DE LUGAR DE TRABAJO TECLADO,,,,,
38044401,DISEÑO DE LUGAR DE TRABAJO MOUSE,,,,,
38054201,BIN CON CHUPON,,,,,
38054202,BIN CON CHUPON,,,,,
38054203,BIN CON CHUPON,,,,,
38054204,BIN CON CHUPON,,,,,
38054205,BIN CON CHUPON,,,,,
38054206,BIN CON CHUPON,,,,,
38054207,BIN CON CHUPON,,,,,
38054208,BIN CON CHUPON,,,,,
38071501,DISEÑO DE ESTACIONES,,,,,
38073214,SILLA DE TRABAJO FIJA,,,,,
38073215,SILLA DE TRABAJO FIJA,,,,,
40071826,SILLA,,,,,
40073209,SILLA DE TRABAJO FIJA,,,,,
41141601,COMPUTADORA DELL,,,,,
41141602,COMPUTADORA DELL,,,,,
41141603,COMPUTADORA DELL,,,,,
41142601,TELÉFONO,,,,,
41171701,ESCRITORIO,,,,,
41171702,ESCRITORIO,,,,,
41171703,ESCRITORIO,,,,,
41242001,PLÓTER,,,,,
41341901,IMPRESORA,,,,,
41372001,ESTANTE,,,,,
41372401,LIBRERO,,,,,
50035101,DREMEL CON ACCESORIOS PUNTA DELGADA,,,,,
50035102,DREMEL CON ACCESORIOS PUNTA DELGADA,,,,,
50035103,DREMEL CON ACCESORIOS PUNTA DELGADA,,,,,
50035104,DREMEL ACCESORIO PUNTA GRUESA,,,,,
50035105,DREMEL ACCESORIO PUNTA GRUESA,,,,,
50035106,DREMEL ACCESORIO PUNTA GRUESA,,,,,
50037101,MEGA JUEGO DE ACCESORIOS DIVERSOS,,,,,
50038101,TALADRO DE COLUMNA DE BANCO,,,,,
50038102,TALADRO DE COLUMNA DE BANCO,,,,,
50038201,SIERRA CALADORA,,,,,
50038202,SIERRA CALADORA,,,,,
50055101,AUDIFONOS,,,,,
50055102,AUDIFONOS,,,,,
50055103,AUDIFONOS,,,,,
50055104,AUDIFONOS,,,,,
50055105,AUDIFONOS,,,,,
50055106,AUDIFONOS,,,,,
50055107,AUDIFONOS,,,,,
50055108,AUDIFONOS,,,,,
50055109,AUDIFONOS,,,,,
50055110,AUDIFONOS,,,,,
50055111,AUDIFONOS,,,,,
50055112,AUDIFONOS,,,,,
